id,imdb_id,popularity,budget,original_title,cast,homepage,director,overview,genres,revenue_adj
206647,tt2379713,6.200282,245000000,Spectre,"Daniel Craig,Christoph Waltz,LÃ©a Seydoux,Ralph Fiennes,Monica Bellucci",http://www.sonypictures.com/movies/spectre/,Sam Mendes,"A cryptic message from Bondâ€™s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.","Action,Adventure,Crime",810220283.78
76757,tt1617661,6.189369,176000003,Jupiter Ascending,"Mila Kunis,Channing Tatum,Sean Bean,Eddie Redmayne,Douglas Booth",http://www.jupiterascending.com,Lana Wachowski|Lilly Wachowski,"In a universe where human genetic material is the most precious commodity, an impoverished young Earth woman becomes the key to strategic maneuvers and internal strife within a powerful dynastyâ€¦","Science Fiction,Fantasy,Action,Adventure",169268630.68
264660,tt0470752,6.118847,15000000,Ex Machina,"Domhnall Gleeson,Alicia Vikander,Oscar Isaac,Sonoya Mizuno,Corey Johnson",http://exmachina-movie.com/,Alex Garland,"Caleb, a 26 year old coder at the world's largest internet company, wins a competition to spend a week at a private mountain retreat belonging to Nathan, the reclusive CEO of the company. But when Caleb arrives at the remote location he finds that he will have to participate in a strange and fascinating experiment in which he must interact with the world's first true artificial intelligence, housed in the body of a beautiful robot girl.","Drama,Science Fiction",33919845.96
257344,tt2120120,5.984995,88000000,Pixels,"Adam Sandler,Michelle Monaghan,Peter Dinklage,Josh Gad,Kevin James",http://www.pixels-movie.com/,Chris Columbus,Video game experts are recruited by the military to fight 1980s-era video game characters who've attacked New York.,"Action,Comedy,Science Fiction",224146025.10
99861,tt2395427,5.944927,280000000,Avengers: Age of Ultron,"Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,Chris Evans,Scarlett Johansson",http://marvel.com/movies/movie/193/avengers_age_of_ultron,Joss Whedon,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earthâ€™s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.","Action,Adventure,Science Fiction",1292632336.88
273248,tt3460252,5.8984,44000000,The Hateful Eight,"Samuel L. Jackson,Kurt Russell,Jennifer Jason Leigh,Walton Goggins,DemiÃ¡n Bichir",http://thehatefuleight.com/,Quentin Tarantino,Bounty hunters seek shelter from a raging blizzard and get caught up in a plot of betrayal and deception.,"Crime,Drama,Mystery,Western",143299244.59
260346,tt2446042,5.749758,48000000,Taken 3,"Liam Neeson,Forest Whitaker,Maggie Grace,Famke Janssen,Dougray Scott",http://www.taken3movie.com/,Olivier Megaton,"Ex-government operative Bryan Mills finds his life is shattered when he's falsely accused of a murder that hits close to home. As he's pursued by a savvy police inspector, Mills employs his particular set of skills to track the real killer and exact his unique brand of justice.","Crime,Action,Thriller",299709578.21
102899,tt0478970,5.573184,130000000,Ant-Man,"Paul Rudd,Michael Douglas,Evangeline Lilly,Corey Stoll,Bobby Cannavale",http://marvel.com/movies/movie/180/ant-man,Peyton Reed,"Armed with the astonishing ability to shrink in scale but increase in strength, con-man Scott Lang must embrace his inner-hero and help his mentor, Dr. Hank Pym, protect the secret behind his spectacular Ant-Man suit from a new generation of towering threats. Against seemingly insurmountable obstacles, Pym and Lang must plan and pull off a heist that will save the world.","Science Fiction,Action,Adventure",477113780.03
131634,tt1951266,5.476958,160000000,The Hunger Games: Mockingjay - Part 2,"Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Woody Harrelson,Elizabeth Banks",http://www.thehungergames.movie/,Francis Lawrence,"With the nation of Panem in a full scale war, Katniss confronts President Snow in the final showdown. Teamed with a group of her closest friends â€“ including Gale, Finnick, and Peeta â€“ Katniss goes off on a mission with the unit from District 13 as they risk their lives to stage an assassination attempt on President Snow who has become increasingly obsessed with destroying her. The mortal traps, enemies, and moral choices that await Katniss will challenge her more than any arena she faced in The Hunger Games.","War,Adventure,Science Fiction",598481289.51
158852,tt1964418,5.462138,190000000,Tomorrowland,"Britt Robertson,George Clooney,Raffey Cassidy,Thomas Robinson,Hugh Laurie",http://movies.disney.com/tomorrowland,Brad Bird,"Bound by a shared destiny, a bright, optimistic teen bursting with scientific curiosity and a former boy-genius inventor jaded by disillusionment embark on a danger-filled mission to unearth the secrets of an enigmatic place somewhere in time and space that exists in their collective memory as ""Tomorrowland.""","Action,Family,Science Fiction,Adventure,Mystery",192312729.94
254128,tt2126355,4.907832,110000000,San Andreas,"Dwayne Johnson,Alexandra Daddario,Carla Gugino,Ioan Gruffudd,Archie Panjabi",http://www.sanandreasmovie.com/,Brad Peyton,"In the aftermath of a massive earthquake in California, a rescue-chopper pilot makes a dangerous journey across the state in order to rescue his estranged daughter.","Action,Drama,Thriller",432851374.99
216015,tt2322441,4.71040199999999,40000000,Fifty Shades of Grey,"Dakota Johnson,Jamie Dornan,Jennifer Ehle,Eloise Mumford,Victor Rasuk",https://www.facebook.com/fiftyshadesofgreymovie,Sam Taylor-Johnson,"When college senior Anastasia Steele steps in for her sick roommate to interview prominent businessman Christian Grey for their campus paper, little does she realize the path her life will take. Christian, as enigmatic as he is rich and powerful, finds himself strangely drawn to Ana, and she to him. Though sexually inexperienced, Ana plunges headlong into an affair -- and learns that Christian's true sexual proclivities push the boundaries of pain and pleasure.","Drama,Romance",524079119.05
318846,tt1596363,4.648046,28000000,The Big Short,"Christian Bale,Steve Carell,Ryan Gosling,Brad Pitt,Melissa Leo",http://www.thebigshortmovie.com/,Adam McKay,The men who made millions from a global economic meltdown.,"Comedy,Drama",122678731.54
177677,tt2381249,4.566713,150000000,Mission: Impossible - Rogue Nation,"Tom Cruise,Jeremy Renner,Simon Pegg,Rebecca Ferguson,Ving Rhames",http://www.missionimpossible.com,Christopher McQuarrie,"Ethan and team take on their most impossible mission yet, eradicating the Syndicate - an International rogue organization as highly skilled as they are, committed to destroying the IMF.",Action,627743451.67
207703,tt2802144,4.503789,81000000,Kingsman: The Secret Service,"Taron Egerton,Colin Firth,Samuel L. Jackson,Michael Caine,Mark Strong",http://www.kingsmanmovie.com/,Matthew Vaughn,The story of a super-secret spy organization that recruits an unrefined but promising street kid into the agency's ultra-competitive training program just as a global threat emerges from a twisted tech genius.,"Crime,Comedy,Action,Adventure",371497801.66
314365,tt1895587,4.062293,20000000,Spotlight,"Mark Ruffalo,Michael Keaton,Rachel McAdams,Liev Schreiber,John Slattery",http://www.spotlightthefilm.com,Tom McCarthy,"The true story of how The Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.","Drama,Thriller,History",81278719.40
294254,tt4046784,3.968891,61000000,Maze Runner: The Scorch Trials,"Dylan O'Brien,Kaya Scodelario,Thomas Brodie-Sangster,Giancarlo Esposito,Aidan Gillen",http://mazerunnermovies.com,Wes Ball,"Thomas and his fellow Gladers face their greatest challenge yet: searching for clues about the mysterious and powerful organization known as WCKD. Their journey takes them to the Scorch, a desolate landscape filled with unimaginable obstacles. Teaming up with resistance fighters, the Gladers take on WCKDâ€™s vastly superior forces and uncover its shocking plans for them all.","Action,Science Fiction,Thriller",286356245.92
280996,tt3168230,3.927333,0,Mr. Holmes,"Ian McKellen,Milo Parker,Laura Linney,Hattie Morahan,Patrick Kennedy",http://www.mrholmesfilm.com/,Bill Condon,"The story is set in 1947, following a long-retired Holmes living in a Sussex village with his housekeeper and rising detective son. But then he finds himself haunted by an unsolved 50-year old case. Holmes' memory isn't what it used to be, so he only remembers fragments of the case: a confrontation with an angry husband, a secret bond with his beautiful but unstable wife.","Mystery,Drama",27006774.88
198184,tt1823672,3.899557,49000000,Chappie,"Sharlto Copley,Dev Patel,Ninja,Yolandi Visser,Jose Pablo Cantillo",http://www.chappie-movie.com,Neill Blomkamp,"Every child comes into the world full of promise, and none more so than Chappie: he is gifted, special, a prodigy. Like any child, Chappie will come under the influence of his surroundingsâ€”some good, some badâ€”and he will rely on his heart and soul to find his way in the world and become his own man. But there's one thing that makes Chappie different from any one else: he is a robot.","Crime,Action,Science Fiction",93903685.24
257445,tt1051904,3.644541,58000000,Goosebumps,"Jack Black,Dylan Minnette,Odeya Rush,Amy Ryan,Jillian Bell",http://www.goosebumps-movie.com/,Rob Letterman,"A teenager teams up with the daughter of young adult horror author R.L. Stine after the writer's imaginary demons are set free on the town of Madison, Delaware.","Adventure,Horror,Comedy",138157089.01
264644,tt3170832,3.557846,6000000,Room,"Brie Larson,Jacob Tremblay,Joan Allen,Sean Bridgers,William H. Macy",http://www.roomthemovie.com,Lenny Abrahamson,Jack is a young boy of 5 years old who has lived all his life in one room. He believes everything within it are the only real things in the world. But what will happen when his Ma suddenly tells him that there are other things outside of Room?,"Drama,Thriller",32569603.03
105864,tt1979388,3.339135,175000000,The Good Dinosaur,"Raymond Ochoa,Jack Bright,Jeffrey Wright,Frances McDormand,Maleah Nipay-Padilla",http://movies.disney.com/the-good-dinosaur,Peter Sohn,An epic journey into the world of dinosaurs where an Apatosaurus named Arlo makes an unlikely human friend.,"Adventure,Animation,Comedy,Family,Fantasy",305371920.88
167073,tt2381111,3.227329,11000000,Brooklyn,"Saoirse Ronan,Domhnall Gleeson,Emory Cohen,Emily Bett Rickards,Eileen O'Higgins",http://www.foxsearchlight.com/brooklyn/,John Crowley,"In 1950s Ireland and New York, young Ellis Lacey has to choose between two men and two countries.","Drama,Romance",57110024.59
277216,tt1398426,3.202719,28000000,Straight Outta Compton,"O'Shea Jackson Jr.,Corey Hawkins,Jason Mitchell,Neil Brown Jr.,Aldis Hodge",http://www.straightouttacompton.com/,F. Gary Gray,"In 1987, five young men, using brutally honest rhymes and hardcore beats, put their frustration and anger about life in the most dangerous place in America into the most powerful weapon they had: their music.  Taking us back to where it all began, Straight Outta Compton tells the true story of how these cultural rebelsâ€”armed only with their lyrics, swagger, bravado and raw talentâ€”stood up to the authorities that meant to keep them down and formed the worldâ€™s most dangerous group, N.W.A.  And as they spoke the truth that no one had before and exposed life in the hood, their voice ignited a social revolution that is still reverberating today.","Drama,Music",185504110.10
274854,tt1618442,3.080505,90000000,The Last Witch Hunter,"Vin Diesel,Rose Leslie,Michael Caine,Elijah Wood,Ã“lafur Darri Ã“lafsson",http://www.thelastwitchhunter.movie/,Breck Eisner,"The modern world holds many secrets, but by far the most astounding is that witches still live among us; vicious supernatural creatures intent on unleashing the Black Death upon the world and putting an end to the human race once and for all. Armies of witch hunters have battled this unnatural enemy for centuries, including Kaulder, a valiant warrior who many years ago slayed the all-powerful Witch Queen, decimating her followers in the process. In the moments right before her death, the Queen cursed Kaulder with immortality, forever separating him from his beloved wife and daughter. Today, Kaulder is the last living hunter who has spent his immortal life tracking down rogue witches, all the while yearning for his long-lost family.","Fantasy,Action,Adventure",129164861.17
293863,tt1655441,3.025852,25000000,The Age of Adaline,"Blake Lively,Michiel Huisman,Harrison Ford,Ellen Burstyn,Kathy Baker",http://theageofadalinemovie.com,Lee Toland Krieger,"After 29-year-old Adaline recovers from a nearly lethal accident, she inexplicably stops growing older. As the years stretch on and on, Adaline keeps her secret to herself  until she meets a man who changes her life.","Fantasy,Drama,Romance",39219376.66
325348,tt3072482,3.023253,10000000,Hardcore Henry,"Sharlto Copley,Haley Bennett,Danila Kozlovskiy,Tim Roth,Andrei Dementiev",http://stxmovies.com/hardcorehenry/,Ilya Naishuller,"Henry, a newly resurrected cyborg who must save his wife/creator from the clutches of a psychotic tyrant with telekinetic powers, AKAN, and his army of mercenaries. Fighting alongside Henry is Jimmy, who is Henry's only hope to make it through the day. Hardcore takes place over the course of one day, in Moscow, Russia.","Action,Adventure,Science Fiction",13187081.00
228161,tt2224026,2.976436,135000000,Home,"Jim Parsons,Rihanna,Steve Martin,Jennifer Lopez,Matt Jones",http://www.meettheboov.com/,Tim Johnson,"When Earth is taken over by the overly-confident Boov, an alien race in search of a new place to call home, all humans are promptly relocated, while all Boov get busy reorganizing the planet. But when one resourceful girl, Tip (Rihanna), manages to avoid capture, she finds herself the accidental accomplice of a banished Boov named Oh (Jim Parsons). The two fugitives realize thereâ€™s a lot more at stake than intergalactic relations as they embark on the road trip of a lifetime.","Fantasy,Comedy,Animation,Science Fiction,Family",339361177.12
254320,tt3464902,2.885126,4000000,The Lobster,"Colin Farrell,Rachel Weisz,LÃ©a Seydoux,John C. Reilly,Ben Whishaw",http://tickets.picturehouseentertainment.co.uk/gb/the-lobster/,Yorgos Lanthimos,"In a dystopian near future, single people, according to the laws of The City, are taken to The Hotel, where they are obliged to find a romantic partner in forty-five days or are transformed into beasts and sent off into The Woods.","Thriller,Comedy,Drama,Romance,Science Fiction",8339346.45
258480,tt2402927,2.883233,11800000,Carol,"Cate Blanchett,Rooney Mara,Kyle Chandler,Sarah Paulson,Jake Lacy",http://carolfilm.com/,Todd Haynes,"In 1950s New York, a department-store clerk who dreams of a better life falls for an older, married woman.","Romance,Drama",37050347.90
257211,tt2361509,2.814802,35000000,The Intern,"Robert De Niro,Anne Hathaway,Rene Russo,Anders Holm,JoJo Kushner",http://www.theinternmovie.com/,Nancy Meyers,"70-year-old widower Ben Whittaker has discovered that retirement isn't all it's cracked up to be. Seizing an opportunity to get back in the game, he becomes a senior intern at an online fashion site, founded and run by Jules Ostin.",Comedy,178999419.48
253412,tt2719848,2.798017,55000000,Everest,"Jason Clarke,Jake Gyllenhaal,Josh Brolin,John Hawkes,Sam Worthington",http://www.everestmovie.com/,Baltasar KormÃ¡kur,"Inspired by the incredible events surrounding a treacherous attempt to reach the summit of the world's highest mountain, ""Everest"" documents the awe-inspiring journey of two different expeditions challenged beyond their limits by one of the fiercest snowstorms ever encountered by mankind. Their mettle tested by the harshest of elements found on the planet, the climbers will face nearly impossible obstacles as a lifelong obsession becomes a breathtaking struggle for survival.","Adventure,Drama",187153294.93
257088,tt2058673,2.614499,105000000,Point Break,"Edgar RamÃ­rez,Luke Bracey,Teresa Palmer,Delroy Lindo,Ray Winstone",https://www.facebook.com/PointBreakMovie,Ericson Core,"A young undercover FBI agent infiltrates a gang of thieves who share a common interest in extreme sports. A remake of the 1991 film, ""Point Break"".","Action,Crime,Thriller",123021159.99
295964,tt2503944,2.584264,20000000,Burnt,"Bradley Cooper,Sienna Miller,Lily James,Alicia Vikander,Uma Thurman",http://burntmovie.com/,John Wells,"Adam Jones is a Chef who destroyed his career with drugs and diva behavior. He cleans up and returns to London, determined to redeem himself by spearheading a top restaurant that can gain three Michelin stars.",Drama,33678188.74
238615,tt2140379,2.578919,26000000,Self/less,"Ryan Reynolds,Ben Kingsley,Natalie Martinez,Matthew Goode,Michelle Dockery",http://selflessmovie.tumblr.com/,Tarsem Singh,An extremely wealthy elderly man dying from cancer undergoes a radical medical procedure that transfers his consciousness to the body of a healthy young man but everything may not be as good as it seems when he starts to uncover the mystery of the body's origins and the secret organization that will kill to keep its secrets.,"Science Fiction,Mystery,Thriller",28081355.56
210860,tt3045616,2.575711,60000000,Mortdecai,"Johnny Depp,Gwyneth Paltrow,Ewan McGregor,Paul Bettany,Olivia Munn",http://mortdecaithemovie.com/,David Koepp,"Art dealer, Charles Mortdecai, searches for a stolen painting rumored to contain a secret code that gains access to hidden Nazi gold.","Comedy,Adventure",27985062.89
201088,tt2717822,2.550747,70000000,Blackhat,"Chris Hemsworth,Leehom Wang,Tang Wei,Viola Davis,Holt McCallany",http://www.legendary.com/film/blackhat/,Michael Mann,A man is released from prison to help American and Chinese authorities pursue a mysterious cyber criminal. The dangerous search leads them from Chicago to Hong Kong.,"Mystery,Crime,Action,Thriller,Drama",16332697.61
166424,tt1502712,2.487042,120000001,Fantastic Four,"Miles Teller,Kate Mara,Michael B. Jordan,Jamie Bell,Toby Kebbell",http://www.fantasticfourmovie.com/,Josh Trank,"Four young outsiders teleport to a dangerous universe, which alters their physical form in shocking ways. Their lives irrevocably upended, the team must learn to harness their daunting new abilities and work together to save Earth from a former friend turned enemy.","Action,Adventure,Science Fiction",154539320.32
310131,tt4263482,2.46449,3500000,The Witch,"Anya Taylor-Joy,Ralph Ineson,Kate Dickie,Harvey Scrimshaw,Ellie Grainger",http://a24films.com/films/witch/,Robert Eggers,"New England in the 1630s: William and Katherine lead a devout Christian life with five children, homesteading on the edge of an impassable wilderness. When their newborn son vanishes and crops fail, the family turns on one another. Beyond their worst fears, a supernatural evil lurks in the nearby wood.","Mystery,Horror",37190013.04
238713,tt3079380,2.404473,65000000,Spy,"Melissa McCarthy,Jason Statham,Rose Byrne,Miranda Hart,Bobby Cannavale",http://www.foxmovies.com/movies/spy,Paul Feig,"A desk-bound CIA analyst volunteers to go undercover to infiltrate the world of a deadly arms dealer, and prevent diabolical global disaster.","Action,Comedy,Crime",216812826.08
256591,tt2381941,2.395366,50100000,Focus,"Will Smith,Margot Robbie,Rodrigo Santoro,Robert Taylor,Gerald McRaney",http://focusmovie.com/,Glenn Ficarra|John Requa,"A veteran grifter takes a young, attractive woman under his wing, but things get complicated when they become romantically involved.","Romance,Comedy,Crime,Drama",141645863.64
249070,tt2679042,2.354654,35000000,Hitman: Agent 47,"Rupert Friend,Zachary Quinto,Hannah Ware,Emilio Rivera,Rolf Kanies",http://www.foxmovies.com/movies/hitman-agent-47,Aleksander Bach,An assassin teams up with a woman to help her find her father and uncover the mysteries of her ancestry.,"Action,Crime,Thriller",75759810.19
205775,tt1390411,2.345821,100000000,In the Heart of the Sea,"Chris Hemsworth,Benjamin Walker,Cillian Murphy,Brendan Gleeson,Ben Whishaw",http://www.intheheartoftheseamovie.com/,Ron Howard,"In the winter of 1820, the New England whaling ship Essex was assaulted by something no one could believe: a whale of mammoth size and will, and an almost human sense of vengeance.  The real-life maritime disaster would inspire Herman Melvilleâ€™s Moby Dick.Â  But that told only half the story.Â  â€œHeart of the Seaâ€ reveals the encounterâ€™s harrowing aftermath, as the shipâ€™s surviving crew is pushed to their limits and forced to do the unthinkable to stay alive.Â  Braving storms, starvation, panic and despair, the men will call into question their deepest beliefs, from the value of their lives to the morality of their trade, as their captain searches for direction on the open sea and his first mate still seeks to bring the great whale down.","Thriller,Drama,Adventure,Action,History",86315059.38
334074,tt3247714,2.331636,20000000,Survivor,"Pierce Brosnan,Milla Jovovich,Dylan McDermott,Angela Bassett,Robert Forster",http://survivormovie.com/,James McTeigue,"A Foreign Service Officer in London tries to prevent a terrorist attack set to hit New York, but is forced to go on the run when she is framed for crimes she did not commit.","Crime,Thriller,Action",0.00
312221,tt3076658,2.331567,35000000,Creed,"Michael B. Jordan,Sylvester Stallone,Graham McTavish,Tessa Thompson,Phylicia RashÄd",http://creedthemovie.com/,Ryan Coogler,"The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed.",Drama,126900665.80
276907,tt3569230,2.28135,25000000,Legend,"Tom Hardy,Emily Browning,Christopher Eccleston,David Thewlis,Taron Egerton",https://www.uphe.com/movies/legend-2015,Brian Helgeland,"Suave, charming and volatile, Reggie Kray and his unstable twin brother Ronnie start to leave their mark on the London underworld in the 1960s. Using violence to get what they want, the siblings orchestrate robberies and murders while running nightclubs and protection rackets. With police Detective Leonard ""Nipper"" Read hot on their heels, the brothers continue their rapid rise to power and achieve tabloid notoriety.","Crime,Thriller",39535137.08
308369,tt2582496,2.141506,0,Me and Earl and the Dying Girl,"Thomas Mann,RJ Cyler,Olivia Cooke,Connie Britton,Nick Offerman",http://www.foxsearchlight.com/meandearlandthedyinggirl/,Alfonso Gomez-Rejon,"Greg is coasting through senior year of high school as anonymously as possible, avoiding social interactions like the plague while secretly making spirited, bizarre films with Earl, his only friend. But both his anonymity and friendship threaten to unravel when his mother forces him to befriend a classmate with leukemia.","Comedy,Drama",0.00
227973,tt2452042,2.140199,99000000,The Peanuts Movie,"Noah Schnapp,Bill Melendez,Venus Schultheis,Hadley Belle Miller,Madisyn Shipman",http://www.peanutsmovie.com/,Steve Martino,"Snoopy embarks upon his greatest mission as he and his team take to the skies to pursue their arch-nemesis, while his best pal Charlie Brown begins his own epic quest back home.","Adventure,Animation,Comedy,Family",226534364.28
321741,tt3322364,2.121884,35000000,Concussion,"Will Smith,Bitsie Tulloch,Gugu Mbatha-Raw,Alec Baldwin,Matthew Willig",http://www.sonypictures.com/movies/concussion/,Peter Landesman,"A dramatic thriller based on the incredible true David vs. Goliath story of American immigrant Dr. Bennet Omalu, the brilliant forensic neuropathologist who made the first discovery of CTE, a football-related brain trauma, in a pro player and fought for the truth to be known. Omalu's emotional quest puts him at dangerous odds with one of the most powerful institutions in the world.",Drama,44733666.56
296100,tt3530002,2.096273,25000000,The Night Before,"Joseph Gordon-Levitt,Seth Rogen,Anthony Mackie,Lizzy Caplan,Jillian Bell",https://www.facebook.com/NightBeforeMovie,Jonathan Levine,"In New York City for their annual tradition of Christmas Eve debauchery, three lifelong best friends set out to find the Holy Grail of Christmas parties since their yearly reunion might be coming to an end.",Comedy,48204295.11
263472,tt3605418,2.080935,2500000,Knock Knock,"Keanu Reeves,Lorenza Izzo,Ana de Armas,Aaron Burns,Colleen Camp",http://knockknockmovie.tumblr.com/,Eli Roth,"When a devoted husband and father is left home alone for the weekend, two stranded young women unexpectedly knock on his door for help. What starts out as a kind gesture results in a dangerous seduction and a deadly game of cat and mouse.","Drama,Horror,Thriller",4796917.45
333348,tt2279339,2.055572,17000000,Love the Coopers,"Steve Martin,Diane Keaton,John Goodman,Alan Arkin,Olivia Wilde",http://www.cbsfilms.com/love-the-coopers/,Jessie Nelson,"When four generations of the Cooper clan come together for their annual Christmas Eve celebration, a series of unexpected visitors and unlikely events turn the night upside down, leading them all toward a surprising rediscovery of family bonds and the spirit of the holiday.","Family,Comedy",22079990.28
285783,tt3488710,2.049886,35000000,The Walk,"Joseph Gordon-Levitt,Ben Kingsley,Charlotte Le Bon,Ben Schwartz,James Badge Dale",http://www.sonypictures.com/movies/thewalk/,Robert Zemeckis,The story of French high-wire artist Philippe Petit's attempt to cross the Twin Towers of the World Trade Center in 1974.,"Adventure,Drama,Thriller",56287361.87
290764,tt2401097,2.026651,11000000,Tracers,"Marie Avgeropoulos,Taylor Lautner,Adam Rayner,Rafi Gavron,Sam Medina",http://www.unlimited-movie.com/,Daniel Benmayor,"Wanted by the mafia, a New York City bike messenger escapes into the world of parkour after meeting a beautiful stranger.","Action,Crime,Drama",1714249.05
287424,tt1881002,1.980039,4000000,Maggie,"Arnold Schwarzenegger,Abigail Breslin,Joely Richardson,Laura Cayouette,J.D. Evermore",http://www.maggiethefilm.com/,Henry Hobson,"There's a deadly zombie epidemic threatening humanity, but Wade, a small-town farmer and family man, refuses to accept defeat even when his daughter Maggie becomes infected. As Maggie's condition worsens and the authorities seek to eradicate those with the virus, Wade is pushed to the limits in an effort to protect her. Joely Richardson co-stars in this post-apocalyptic thriller.",Horror,172142.96
301875,tt3289728,1.959765,0,Equals,"Kristen Stewart,Nicholas Hoult,Guy Pearce,Jacki Weaver,Bel Powley",http://equals-the-movie.com/,Drake Doremus,A futuristic love story set in a world where emotions have been eradicated.,"Drama,Romance,Science Fiction",1839999.19
